"cite.key","smd","se","upper","lower","pop_cn","pop_sn","group","exposure","outcome","functional_group","trophic_level","treatment","control","n"
"murchisonHumanActivityHabitat2016",1.90849532652572,0.497315818683617,2.88323433114561,0.933756321905834,"Semipalmated Plover","Charadrius Semipalmatus","","active disturbance","vigilance","herbivore","1",NA,NA,NA
"pangleLethalNonlethalAnthropogenic2010",-3.83997138746124,0.54246547156149,-2.77673906320072,-4.90320371172176,"Spotted Hyena","Crocuta Crocuta","","hunting/nonhunting disturbance/natural predator playback","vigilance","carnivore","3",NA,NA,NA
"pecorellaEffectsCullingVigilance2016",-3.82247573631501,0.127203961650172,-3.57315597148068,-4.07179550114935,"Fallow Deer","Dama Dama","","hunting","foraging","herbivore","1",NA,NA,NA
"pecorellaEffectsCullingVigilance2016",2.77998235368364,0.106067518988995,2.98787469090208,2.57209001646521,"Fallow Deer","Dama Dama","","hunting","vigilance","herbivore","1",NA,NA,NA
"podgorskiSpatiotemporalBehavioralPlasticity2013",4.63647852937006,0.815180618448421,6.23423254152897,3.03872451721116,"Wild Boar","Sus Scofra","","active disturbance","movement","herbivore","1",NA,NA,NA
"podgorskiSpatiotemporalBehavioralPlasticity2013",-6.35460378136974,0.930287974314965,-4.5312393517124,-8.17796821102707,"Wild Boar","Sus Scofra","","active disturbance","movement","herbivore","1",NA,NA,NA
"proffittContrastingEffectsWolves2009",8.54449453571399,1.19877209154017,10.8940878351327,6.19490123629526,"Elk","Cervus Elaphus","forested area","hunting","movement","herbivore","1",NA,NA,NA
"proffittContrastingEffectsWolves2009",31.6209126771603,4.24126999427577,39.9338018659408,23.3080234883798,"Elk","Cervus Elaphus","grassland","hunting","movement","herbivore","1",NA,NA,NA
"proffittContrastingEffectsWolves2009",12.4049359678343,1.69741980155984,15.7318787788916,9.07799315677704,"Elk","Cervus Elaphus","hills","hunting","movement","herbivore","1",NA,NA,NA
"severcanEffectsFlockSize2011",6.32019287312708,0.413752799711888,7.13114836056238,5.50923738569178,"Eurasian Coot","Fulica Atra","","active disturbance","vigilance","herbivore","1",NA,NA,NA
