"cite.key","smd","se","upper","lower","pop_cn","pop_sn","group","exposure","outcome","functional_group","trophic_level","treatment","control","n"
"gavinPronghornAntilocapraAmericana2006",14.4617722683929,0.667056872533654,15.7691797141988,13.154364822587,"Pronghorn Antelope","Antilocapra Americana","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"gerte.olssonEffectsHuntingWillow1996",-1.95373245889374,0.266927358436733,-1.43056444986933,-2.47690046791815,"Willow Grouse","Lagopus Lagopus","","hunting","movement","granivore","1",NA,NA,NA
"gerte.olssonEffectsHuntingWillow1996",-4.04144455188876,0.382947817879273,-3.29088062088718,-4.79200848289034,"Willow Grouse","Lagopus Lagopus","","hunting","movement","granivore","1",NA,NA,NA
"giordanoPreyResponsesPredation2022",-1.41075276072425,0.26526376261542,-0.890845339594444,-1.93066018185406,"Chipmunk","Tamias Striatus","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"giordanoPreyResponsesPredation2022",4.63502537286077,0.504524325058097,5.62387487929902,3.64617586642252,"Chipmunk","Tamias Striatus","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"giordanoPreyResponsesPredation2022",1.17597829277857,0.257076086817104,1.67983816422659,0.672118421330557,"Chipmunk","Tamias Striatus","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"giordanoPreyResponsesPredation2022",NA,NA,NA,NA,"Chipmunk","Tamias Striatus","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"grignolioEffectsHuntingHounds2011",0.559984432784699,0.151724991170435,0.85735995103341,0.262608914535988,"Roe Deer","Capreolus Capreolus","","hunting","movement","herbivore","1",NA,NA,NA
"jayakodyRedDeerCervus2008",25.3790104091154,1.30313541097559,27.9331088816063,22.8249119366244,"Red Deer","Cervus Elaphus","Treatment_1","hunting/active disturbance","vigilance","herbivore","1",NA,NA,NA
"jayakodyRedDeerCervus2008",1.96980385411289,0.315407958081351,2.58799209238966,1.35161561583613,"Red Deer","Cervus Elaphus","Treatment_1","hunting/active disturbance","vigilance","herbivore","1",NA,NA,NA
"jayakodyRedDeerCervus2008",-6.12482467116024,0.344274135457385,-5.4500597648551,-6.79958957746538,"Red Deer","Cervus Elaphus","Treatment_1","hunting/active disturbance","vigilance","herbivore","1",NA,NA,NA
"jayakodyRedDeerCervus2008",-26.8946050050403,1.83566402496121,-23.2967696284005,-30.4924403816801,"Red Deer","Cervus Elaphus","Treatment_1","hunting/active disturbance","vigilance","herbivore","1",NA,NA,NA
"lesmerisesRefugePredationRisk2017",-5.07023364220957,0.631213263836954,-3.83307837852516,-6.30738890589398,"Gaspesie Caribou","Rangifer Tarandus Caribou","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"lesmerisesRefugePredationRisk2017",-2.31031575114771,0.436550108853147,-1.4546932603485,-3.16593824194692,"Gaspesie Caribou","Rangifer Tarandus Caribou","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"liCollectiveVigilanceWintering2016",0.616583470043991,0.236866903010189,1.0808340690735,0.152332871014478,"Hooded Crane","Grys Monacha","","active disturbance","vigilance","insectivore","2",NA,NA,NA
"liVigilanceActivityTimeBudget2015",64.5246077204247,2.32774074686125,69.0868957496191,59.9623196912303,"Hooded Crane","Grys Monacha","","active disturbance","foraging","insectivore","2",NA,NA,NA
"liVigilanceActivityTimeBudget2015",12.8601133321118,0.475514474059195,13.7921045753953,11.9281220888282,"Hooded Crane","Grys Monacha","","active disturbance","foraging","insectivore","2",NA,NA,NA
"loehrGenderAgeclassspecificReactions2005",-0.406578556307364,0.368901660844933,0.316455412785713,-1.12961252540044,"Thinhorn Sheep","Ovis Dalli","juvenile","active disturbance","vigilance","herbivore","1",NA,NA,NA
"loehrGenderAgeclassspecificReactions2005",6.74122806646948,0.943788075118525,8.59101870274017,4.89143743019879,"Thinhorn Sheep","Ovis Dalli","juvenile","active disturbance","vigilance","herbivore","1",NA,NA,NA
"loehrGenderAgeclassspecificReactions2005",8.6702759016381,1.01964261024713,10.6687386948249,6.67181310845131,"Thinhorn Sheep","Ovis Dalli","juvenile","active disturbance","vigilance","herbivore","1",NA,NA,NA
"loehrGenderAgeclassspecificReactions2005",0.82078268166813,0.329273522518254,1.46614692686655,0.175418436469714,"Thinhorn Sheep","Ovis Dalli","juvenile","active disturbance","vigilance","herbivore","1",NA,NA,NA
"lopesHumanmodifiedLandscapesAlter2021",-10.1865806640686,1.8592244618743,-6.54256767961908,-13.8305936485181,"Capybaras","Hydrochoerus Hydrochaeris","","passive disturbance","movement","herbivore","1",NA,NA,NA
"matsonFactorsAffectingVigilance2005",2.95571352424219,0.158572407890963,3.26650973265027,2.6449173158341,"Impala","Aepyceros Melampus","time","hunting","vigilance","herbivore","1",NA,NA,NA
"matsonFactorsAffectingVigilance2005",0.278032470003334,0.111740498381432,0.497039822445497,0.0590251175611701,"Impala","Aepyceros Melampus","time","hunting","vigilance","herbivore","1",NA,NA,NA
"murchisonHumanActivityHabitat2016",-3.34957574451649,0.510947666358999,-2.34813672046806,-4.35101476856491,"Western Sandpiper","Calidris Mauri","","active disturbance","foraging","insectivore","1",NA,NA,NA
"murchisonHumanActivityHabitat2016",-1.70883224119166,0.399816824162151,-0.925205665420659,-2.49245881696266,"Western Sandpiper","Calidris Mauri","","active disturbance","foraging","insectivore","1",NA,NA,NA
"murchisonHumanActivityHabitat2016",-2.57611590898811,0.539964893826259,-1.51780416417265,-3.63442765380357,"Western Sandpiper","Calidris Mauri","","active disturbance","foraging","insectivore","1",NA,NA,NA
"murchisonHumanActivityHabitat2016",8.29219409484698,1.13734948736292,10.5213581279134,6.06303006178056,"Western Sandpiper","Calidris Mauri","","active disturbance","foraging","insectivore","1",NA,NA,NA
"pangleLethalNonlethalAnthropogenic2010",-14.9251204024939,1.69845249107185,-11.5962146905408,-18.2540261144471,"Spotted Hyena","Crocuta Crocuta","","hunting/nonhunting disturbance/natural predator playback","vigilance","carnivore","3",NA,NA,NA
"podgorskiSpatiotemporalBehavioralPlasticity2013",3.48968100774108,0.671458518714978,4.80571552153505,2.17364649394711,"Wild Boar","Sus Scofra","","active disturbance","movement","herbivore","1",NA,NA,NA
"podgorskiSpatiotemporalBehavioralPlasticity2013",-1.29842611474592,0.509191082266492,-0.300429932254621,-2.29642229723721,"Wild Boar","Sus Scofra","","active disturbance","movement","herbivore","1",NA,NA,NA
"proffittContrastingEffectsWolves2009",69.377431675991,8.96402813653623,86.9466039800057,51.8082593719763,"Elk","Cervus Elaphus","forested area","hunting","movement","herbivore","1",NA,NA,NA
"proffittContrastingEffectsWolves2009",89.2475566243014,11.5275946923082,111.841227049601,66.6538861990023,"Elk","Cervus Elaphus","forested area","hunting","movement","herbivore","1",NA,NA,NA
"proffittContrastingEffectsWolves2009",38.4143896049876,4.97270102446645,48.1607045188273,28.6680746911479,"Elk","Cervus Elaphus","forested area","hunting","movement","herbivore","1",NA,NA,NA
"severcanEffectsFlockSize2011",0.955434323874297,0.178172727992028,1.30464645376592,0.606222193982671,"Eurasian Coot","Fulica Atra","rate","active disturbance","vigilance","herbivore","1",NA,NA,NA
"severcanEffectsFlockSize2011",0.406841753393983,0.170628430720315,0.741267332344388,0.0724161744435782,"Eurasian Coot","Fulica Atra","rate","active disturbance","vigilance","herbivore","1",NA,NA,NA
"severcanEffectsFlockSize2011",3.98260041878013,0.290482716950092,4.55193608213365,3.4132647554266,"Eurasian Coot","Fulica Atra","rate","active disturbance","vigilance","herbivore","1",NA,NA,NA
"shannonBehavioralResponsesAssociated2014",-0.683171784976716,0.0536233750838035,-0.578071901082979,-0.788271668870454,"Pronghorn","Antilocapra Americana","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"shannonBehavioralResponsesAssociated2014",-0.602714465672477,0.0334998575766091,-0.537055951335102,-0.668372980009852,"Pronghorn","Antilocapra Americana","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"smithFearHumanSuper2017",-3.45875881751013,0.590267481695284,-2.30185581214222,-4.61566182287805,"Puma","Puma Concolor","","human playback","foraging","carnivore","3",NA,NA,NA
"zhengDeterminantsVigilanceReintroduced2013",13.6713526477226,1.36897590590414,16.3544961189978,10.9882091764474,"Pere David’s Deer","Elaphurus Davidianus","male","active disturbance","vigilance","herbivore","1",NA,NA,NA
