"cite.key","study_type","sampling","sampling_time","pop_cn","pop_sn","exposure","control","outcome","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"giordanoPreyResponsesPredation2022","treatment-control","FIS",45,"Mouse","Tamias striatus/Peromyscus leucopus","passive disturbance","positive control","vigilance","passive disturbance","",0,"","time",0,NA,NA,"ci",NA,37,"",NA
"grignolioEffectsHuntingHounds2011","treatment-control","-",NA,"Roe Deer","-","hunting","negative control","home range","control","",84,"","ha",11,NA,NA,"sd",NA,95,"stalking",7.63636363636364
"grignolioEffectsHuntingHounds2011","treatment-control","-",NA,"Roe Deer","-","hunting","negative control","home range","hunting","",86,"","ha",15,NA,NA,"sd",NA,86,"hunting with houds",5.73333333333333
"jayakodyRedDeerCervus2008","treatment-control","scan",NA,"Red Deer","Cervus elaphus","hunting/active disturbance","negative","vigilance","control","Treatment_1",6.528,"percentage","n",0.576000000000001,NA,NA,"se",NA,96,"",11.3333333333333
"jayakodyRedDeerCervus2008","treatment-control","scan",NA,"Red Deer","Cervus elaphus","hunting/active disturbance","negative","vigilance","active disturbance","Treatment_1",37.0752,"percentage","n",2.352,NA,NA,"se",NA,96,"",15.7632653061224
"jayakodyRedDeerCervus2008","treatment-control","scan",NA,"Red Deer","Cervus elaphus","hunting/active disturbance","negative","vigilance","control","Treatment_2",6.528,"percentage","n",0.576000000000001,NA,NA,"se",NA,96,"",11.3333333333333
"jayakodyRedDeerCervus2008","treatment-control","scan",NA,"Red Deer","Cervus elaphus","hunting/active disturbance","negative","vigilance","hunted","Treatment_2",8.022,"percentage","n",0.660800000000001,NA,NA,"se",NA,14,"",12.1398305084745
"jayakodyRedDeerCervus2008","treatment-control","scan",NA,"Red Deer","Cervus elaphus","hunting/active disturbance","negative","foraging","control","Treatment_1",52.1376,"percentage","n",3.6576,NA,NA,"se",NA,96,"",14.254593175853
"jayakodyRedDeerCervus2008","treatment-control","scan",NA,"Red Deer","Cervus elaphus","hunting/active disturbance","negative","foraging","active disturbance","Treatment_1",40.9056,"percentage","n",3.1392,NA,NA,"se",NA,96,"",13.0305810397554
"jayakodyRedDeerCervus2008","treatment-control","scan",NA,"Red Deer","Cervus elaphus","hunting/active disturbance","negative","foraging","control","Treatment_2",52.1376,"percentage","n",3.6576,NA,NA,"se",NA,96,"",14.254593175853
"jayakodyRedDeerCervus2008","treatment-control","scan",NA,"Red Deer","Cervus elaphus","hunting/active disturbance","negative","foraging","hunted","Treatment_2",3.6806,"percentage","n",0.5586,NA,NA,"se",NA,14,"",6.58897243107769
"lesmerisesRefugePredationRisk2017","treatment-control","FIS",1800,"Gaspesie Caribou","Rangifer tarandus caribou","passive disturbance","none","foraging","passive disturbance","",3.798,"percentage","n",3.789,NA,NA,"sd",NA,9,"",1.00237529691211
"lesmerisesRefugePredationRisk2017","treatment-control","FIS",1800,"Gaspesie Caribou","Rangifer tarandus caribou","passive disturbance","none","vigilance","passive disturbance","",0.207,"percentage","n",0.3285,NA,NA,"sd",NA,9,"",0.63013698630137
"lesmerisesRefugePredationRisk2017","treatment-control","FIS",1800,"Gaspesie Caribou","Rangifer tarandus caribou","passive disturbance","none","foraging","control","",20.36,"percentage","n",12.48,NA,NA,"sd",NA,40,"",1.63141025641026
"lesmerisesRefugePredationRisk2017","treatment-control","FIS",1800,"Gaspesie Caribou","Rangifer tarandus caribou","passive disturbance","none","vigilance","control","",5.44,"percentage","n",6.28,NA,NA,"sd",NA,40,"",0.866242038216561
"liCollectiveVigilanceWintering2016","treatment-control","scan",9000,"Hooded Crane","Grys monacha","active disturbance","negative control","vigilance","active disturbance","",18.445,"percentage","n",1.33,NA,NA,"se",NA,35,"",13.8684210526316
"liCollectiveVigilanceWintering2016","treatment-control","scan",9000,"Hooded Crane","Grys monacha","active disturbance","negative control","vigilance","control","",17.68,"percentage","n",1.8,NA,NA,"se",NA,40,"",9.82222222222222
"liQuantifyingHumanDisturbance2011","correlational","FIS",120,"Yellowbellied Marmot","Marmota flaviventris","active disturbance","none","vigilance","active disturbance","",-0.144,"proportion","coefficient",0.11734693877551,0.086,-0.374,"credible interval",-1,96,"treatment:control",1.22713043478261
"liQuantifyingHumanDisturbance2011","correlational","FIS",120,"Yellowbellied Marmot","Marmota flaviventris","active disturbance","none","foraging","active disturbance","",0.136,"proportion","coefficient",0.162244897959184,0.433,-0.203,"credible interval",-1,96,"treatment:control",0.838238993710692
"liVigilanceActivityTimeBudget2015","treatment-control","FIS",480,"Hooded Crane","Grus monacha","active disturbance","negative control","foraging","control","",152.16,"percentage","time",8.16,NA,NA,"sd",NA,248,"",18.6470588235294
"liVigilanceActivityTimeBudget2015","treatment-control","FIS",480,"Hooded Crane","Grus monacha","active disturbance","negative control","foraging","active disturbance","",336,"percentage","time",8.16,NA,NA,"sd",NA,137,"",41.1764705882353
"liVigilanceActivityTimeBudget2015","treatment-control","FIS",480,"Hooded Crane","Grus monacha","active disturbance","negative control","vigilance","control","",90.24,"percentage","time",5.76,NA,NA,"sd",NA,248,"",15.6666666666667
"liVigilanceActivityTimeBudget2015","treatment-control","FIS",480,"Hooded Crane","Grus monacha","active disturbance","negative control","vigilance","active disturbance","",121.92,"percentage","time",6.72,NA,NA,"sd",NA,137,"",18.1428571428571
"loehrGenderAgeclassspecificReactions2005","treatment-control","FIS",240,"Thinhorn Sheep","Ovis dalli","active disturbance","negative control","vigilance","control","juvenile",17.28,"percentage","time",2.88,NA,NA,"se",NA,15,"",6
"loehrGenderAgeclassspecificReactions2005","treatment-control","FIS",240,"Thinhorn Sheep","Ovis dalli","active disturbance","negative control","vigilance","active disturbance","juvenile",16.56,"percentage","time",3.84,NA,NA,"se",NA,15,"",4.3125
"loehrGenderAgeclassspecificReactions2005","treatment-control","FIS",240,"Thinhorn Sheep","Ovis dalli","active disturbance","negative control","foraging","control","juvenile",136.56,"percentage","time",15.36,NA,NA,"se",NA,15,"",8.890625
"loehrGenderAgeclassspecificReactions2005","treatment-control","FIS",240,"Thinhorn Sheep","Ovis dalli","active disturbance","negative control","foraging","active disturbance","juvenile",162.48,"percentage","time",16.32,NA,NA,"se",NA,15,"",9.95588235294118
"loehrGenderAgeclassspecificReactions2005","treatment-control","FIS",240,"Thinhorn Sheep","Ovis dalli","active disturbance","negative control","vigilance","control","adults",15.12,"percentage","time",2.64,NA,NA,"se",NA,20,"",5.72727272727273
"loehrGenderAgeclassspecificReactions2005","treatment-control","FIS",240,"Thinhorn Sheep","Ovis dalli","active disturbance","negative control","vigilance","active disturbance","adults",31.68,"percentage","time",5.04,NA,NA,"se",NA,20,"",6.28571428571429
"loehrGenderAgeclassspecificReactions2005","treatment-control","FIS",240,"Thinhorn Sheep","Ovis dalli","active disturbance","negative control","foraging","control","adults",133.2,"percentage","time",10.32,NA,NA,"se",NA,20,"",12.906976744186
"loehrGenderAgeclassspecificReactions2005","treatment-control","FIS",240,"Thinhorn Sheep","Ovis dalli","active disturbance","negative control","foraging","active disturbance","adults",136.08,"percentage","time",15.6,NA,NA,"se",NA,20,"",8.72307692307692
"lopesHumanmodifiedLandscapesAlter2021","treatment-control","-",NA,"Capybaras","-","passive disturbance","negative control","home range","passive disturbance","",35.85,"","ha",24.95,NA,NA,"sd",NA,14,"human modified landscape",1.43687374749499
"lopesHumanmodifiedLandscapesAlter2021","treatment-control","-",NA,"Capybaras","-","passive disturbance","negative control","home range","control","",87.21,"","ha",60.1,NA,NA,"sd",NA,3,"natural landscape",1.45108153078203
"matsonFactorsAffectingVigilance2005","treatment-control","FIS",300,"Impala","","hunting","negative control","vigilance","hunted","time",60,"proportion","time",3,NA,NA,"se",NA,211,"Humani",20
"matsonFactorsAffectingVigilance2005","treatment-control","FIS",300,"Impala","","hunting","negative control","vigilance","control","time",54,"proportion","time",6,NA,NA,"se",NA,131,"Senuko",9
"matsonFactorsAffectingVigilance2005","treatment-control","FIS",300,"Impala","","hunting","negative control","vigilance","hunted","rate",8.36,"","rate",0.33,NA,NA,"se",NA,211,"Humani",25.3333333333333
"matsonFactorsAffectingVigilance2005","treatment-control","FIS",300,"Impala","","hunting","negative control","vigilance","control","rate",8.18,"","rate",0.57,NA,NA,"se",NA,131,"Senuko",14.3508771929825
"montero-quintanaEcotourismImpactsBehaviour2020","BACI","scan",NA,"Whale Shark","Rhincodon typus","active disturbance","negative control","foraging","before treatment","",53.04,"proportion","n",5.44,NA,NA,"se",NA,68,"",9.75
"montero-quintanaEcotourismImpactsBehaviour2020","BACI","scan",NA,"Whale Shark","Rhincodon typus","active disturbance","negative control","foraging","after treatment","",42.84,"proportion","n",5.44,NA,NA,"se",NA,68,"",7.875
"montero-quintanaEcotourismImpactsBehaviour2020","BACI","scan",NA,"Whale Shark","Rhincodon typus","active disturbance","negative control","vigilance","before treatment","",0,"proportion","n",0,NA,NA,"se",NA,44,"",NA
"montero-quintanaEcotourismImpactsBehaviour2020","BACI","scan",NA,"Whale Shark","Rhincodon typus","active disturbance","negative control","vigilance","after treatment","",30.8,"proportion","n",16.72,NA,NA,"se",NA,44,"",1.84210526315789
"murchisonHumanActivityHabitat2016","treatment-control","FIS",120,"Western Sandpiper","","active disturbance","negative control","foraging","control","",103.68,"proportion","time",11.28,NA,NA,"se",NA,30,"",9.19148936170213
