"","X","pop_cn","pop_sn","functional_group","trophic_level","phylum","class","order","family","genus","specificEpithet","sex","sampleSizeValue","inTextReference","publicationYear","fullReference","body.mass","body.mass...units","body.mass...minimum","body.mass...maximum","body.mass...method","body.mass...comments","body.mass...metadata.comment","original.body.mass","original.body.mass...units","metabolic.rate","metabolic.rate...units","metabolic.rate...minimum","metabolic.rate...maximum","metabolic.rate...method","metabolic.rate...comments","metabolic.rate...metadata.comment","original.metabolic.rate","original.metabolic.rate...units","original.respiratoryQuotient","original.temperature","mass.specific.metabolic.rate","mass.specific.metabolic.rate...units","brain.size","brain.size...units","brain.size...minimum","brain.size...maximum","brain.size...method","brain.size...comments","brain.size...metadata.comment","original.brain.size","original.brain.size...units"
"30",38,"Verreaux’s Sifaka","Propicthecus verreauxi","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",27,"Puma","Puma concolor","carnivore",3,"Chordata","Mammalia","Carnivora","Felidae","Puma","concolor","male",1,"Crile & Quiring, 1940","1940","Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science",28.79,"kg",NA,NA,"","",NA,"28.79","kg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.1067,"kg",NA,NA,"brain weighed","","",106.7,"g"
"32",1,"Alpine chough","Pyrrhocorax graculus","granivore",1,"Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","graculus","",2,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",0.15,"kg",NA,NA,"","",NA,"150","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.0035,"kg",NA,NA,"skull filling","","",3.5,"g"
"33",14,"Gaspesie Caribou","Rangifer tarandus caribou","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",35,"Svalbard Reindeer","Rangifer tarandus platyrhynchus","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",20,"Lesser Rhea","Rhea pennata pennata","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",40,"Whale Shark","Rhincodon typus","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",36,"Tatra Chamois","Rupicapra rupicapra tatrica","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",8,"Dusky Damselfish","Stegastes fuscus","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",41,"Wild Boar","Sus scofra","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",7,"Chipmunk","Tamias striatus","herbivore",1,"Chordata","Mammalia","Rodentia","Sciuridae","Tamias","striatus","female",2,"Crile & Quiring, 1940","1940","Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science",0.075,"kg",NA,NA,"","",NA,"0.075","kg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.0016,"kg",NA,NA,"brain weighed","","",1.6,"g"
"41",7,"Chipmunk","Tamias striatus","herbivore",1,"Chordata","Mammalia","Rodentia","Sciuridae","Tamias","striatus","male",2,"Crile & Quiring, 1940","1940","Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.00222,"kg",NA,NA,"brain weighed","","",2.22,"g"
"42",7,"Chipmunk","Tamias striatus","herbivore",1,"Chordata","Mammalia","Rodentia","Sciuridae","Tamias","striatus","male",4,"Crile & Quiring, 1940","1940","Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.00173,"kg",NA,NA,"brain weighed","","",1.73,"g"
"43",7,"Chipmunk","Tamias striatus","herbivore",1,"Chordata","Mammalia","Rodentia","Sciuridae","Tamias","striatus","",13,"Wang & Hudson, 1971","1971","Wang, L. C.-H., & Hudson, J. W. (1971). Temperature regulation in normothermic and hibernating eastern chipmunk, Tamias striatus. Comparative Biochemistry and Physiology Part A: Physiology, 38(1), 59-90. doi:10.1016/0300-9629(71)90098-3",0.0874,"kg",NA,NA,"","",NA,"87.4","g",0.500122222222222,"W",NA,NA,"not specified","","",1.03,"(O2) cm3/g/h",NA,"30",5.72222222222222,"W/kg",NA,"",NA,NA,"","","",NA,""
"44",15,"Greater Kudu","Tragelaphus strepsiceros","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",4,"Blackbird","Turdus merula","omnivore",1,"Chordata","Aves","Passeriformes","Turdidae","Turdus","merula","",3,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A ‘slow pace of life’ in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6",0.0851,"kg",NA,NA,"","",NA,"85.1","g",0.96,"W",NA,NA,"basal metabolic rate","","",2.88,"(O2) ml/min",NA,"31",11.2808460634548,"W/kg",NA,"",NA,NA,"","","",NA,""
"46",5,"Brown Bear","ursus arctos","omnivore",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,"Ward's Damsel Fish","Chromis wardi","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
