"cite.key","Title","Authors","year"
"rodriguez-prietoAntipredatorBehaviorBlackbirds2009","Antipredator behavior in blackbirds habituation complements risk allocation","I Rodriguez-Prieto, E Fernandez-Juricic, J Martin, Y Regis","2009"
"proffittContrastingEffectsWolves2009","Contrasting Effects of Wolves and Human Hunters on Elk Behavioral Responses to Predation Risk","KM Proffitt, JL Grigg, KL Hamlin, RA Garrott","2009"
"neumannNonimpactHuntingMoose2009","The non-impact of hunting on moose Alces alces movement, diurnal activity, and activity range","W Neumann, G Ericsson, H Dettki","2009"
"lagosFlightInitiationDistance2009","Flight initiation distance is differentially sensitive to the costs of staying and leaving food patches in a small-mammal prey","P.A. Lagos, A. Meier, L.O. Tolhuysen, R.A. Castro, F. Bozinovic, L.A. Ebensperger","2009"
"fridConservationAntiPredatorBehavior2009","Conservation and Anti-Predator Behavior","A. Frid, M.R. Heithaus","2009"
"fernandez-juricicCaliforniaEndangeredBelding2009","California's Endangered Belding's Savannah Sparrow (Passerculus sandwichensis beldingi) Tolerance of Pedestrian Disturbance","E Fernandez-Juricic, EF Zahn, T Parker, T Stankowich","2009"
"bellefleurImpactRecreationalBoat2009","The impact of recreational boat traffic on Marbled Murrelets (Brachyramphus mamoratus)","D Bellefleur, P Lee, RA Ronconi","2009"
"wolfMinimizingDisturbanceWildlife2010","Minimizing disturbance to wildlife by tourists approaching on foot or in a car A study of kangaroos in the Australian rangelands","ID Wolf, DB Croft","2010"
"stclairPresenceMammalianPredators2010","Presence of mammalian predators decreases tolerance to human disturbance in a breeding shorebird","JJH St Clair, GE Garcia-Pena, RW Woods, T Szekely","2010"
"sirotShouldRiskAllocation2010","Should risk allocation strategies facilitate or hinder habituation to nonlethal disturbance in wildlife?","E Sirot","2010"
"pangleLethalNonlethalAnthropogenic2010","Lethal and nonlethal anthropogenic effects on spotted hyenas in the Masai Mara National Reserve","WM Pangle, KE Holekamp","2010"
"madinFishingIndirectlyStructures2010","Fishing Indirectly Structures Macroalgal Assemblages by Altering Herbivore Behavior","Elizabeth M. P. Madin, Steven D. Gaines, Joshua S. Madin, Robert R. Warner","2010"
"madinFieldEvidencePervasive2010","Field evidence for pervasive indirect effects of fishing on prey foraging behavior","Elizabeth M. P. Madin, Steven D. Gaines, Robert R. Warner","2010"
"lemaitreDeerMiceMediate2010","Deer mice mediate red-backed vole behaviour and abundance along a gradient of habitat alteration","J Lemaitre, D Fortin, DW Morris, M Darveau","2010"
"jansenReactionHarborSeals2010","Reaction of harbor seals to cruise ships","J.K. Jansen, P.L. Boveng, S.P. Dahle, J.L. Bengtson","2010"
"dowdingNocturnalRangingBehaviour2010","Nocturnal ranging behaviour of urban hedgehogs, Erinaceus europaeus, in relation to risk and reward","CV Dowding, S Harris, S Poulton, PJ Baker","2010"
"cooperPredationRiskEscape2010","Predation risk, escape and refuge use by mountain spiny lizards (Sceloporus jarrovii)","WE Cooper, A Avalos","2010"
"chanAnthropogenicNoiseAffects2010","Anthropogenic noise affects risk assessment and attention the distracted prey hypothesis","AAYH Chan, P Giraldo-Perez, S Smith, DT Blumstein","2010"
"brosethDisturbanceEffectsHunting2010","Disturbance effects of hunting activity in a willow ptarmigan Lagopus lagopus population","H Broseth, HC Pedersen","2010"
"severcanEffectsFlockSize2011","The effects of flock size and human presence on vigilance and feeding behavior in the Eurasian Coot (Fulica atra L.) during breeding season","C Severcan, E Yamac","2011"
"rogalaHumanActivityDifferentially2011","Human Activity Differentially Redistributes Large Mammals in the Canadian Rockies National Parks","JK Rogala, M Hebblewhite, J Whittington, CA White, J Coleshill, M Musiani","2011"
"reimersVigilanceFrightBehaviour2011","Vigilance and fright behaviour in the insular Svalbard reindeer Rangifer tarandus platyrhynchus)","E Reimers, S Lund, T Ergon","2011"
"panEldDeerTranslocated2011","Eld's Deer Translocated to Human-Inhabited Areas Become Nocturnal","D Pan, LW Teng, FJ Cui, ZG Zeng, BD Bravery, QO Zhang, YL Song","2011"
"muhlyHumanActivityHelps2011","Human activity helps prey win the predator-prey space race","T.B. Muhly, C. Semeniuk, A. Massolo, L. Hickman, M. Musiani","2011"
"maloMeasuringUngulateTolerance2011","Measuring ungulate tolerance to human with flight distance a reliable visitor management tool?","JE Malo, P Acebes, J Traba","2011"
"lianRoadProximityTraffic2011","Road proximity and traffic flow perceived as potential predation risks evidence from the Tibetan antelope in the Kekexili National Nature Reserve, China","XM Lian, TZ Zhang, YC Cao, JP Su, S Thirgood","2011"
"liQuantifyingHumanDisturbance2011","Quantifying human disturbance on antipredator behavior and flush initiation distance in yellow-bellied marmots","CW Li, R Monclus, TL Maul, ZG Jiang, DT Blumstein","2011"
"jayakodyEffectsHumanDisturbance2011","Effects of human disturbance on the diet composition of wild red deer (Cervus elaphus)","S Jayakody, AM Sibbald, RW Mayes, RJ Hooper, IJ Gordon, X Lambin","2011"
