"cite.key","study_type","contrast_type","sampling","sampling_time","pop_cn","pop_sn","exposure_category","controls","outcome","outcomes","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","foraging","foraging rate + vigilance rate + foraging time + vigilance time","natural predator","wolf",121,"","time",22.4,NA,NA,"sd",-1,49,"",5.40178571428571
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","foraging","foraging rate + vigilance rate + foraging time + vigilance time","natural predator","bear",123,"","time",35.63,NA,NA,"sd",-1,49,"",3.45214706707831
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","foraging","foraging rate + vigilance rate + foraging time + vigilance time","positive control","human",130,"","time",22.4,NA,NA,"sd",-1,49,"",5.80357142857143
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","foraging","foraging rate + vigilance rate + foraging time + vigilance time","positive control","dog",130,"","time",22.4,NA,NA,"sd",-1,49,"",5.80357142857143
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","foraging","foraging rate + vigilance rate + foraging time + vigilance time","positive control","wolf",130,"","time",22.4,NA,NA,"sd",-1,49,"",5.80357142857143
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","foraging","foraging rate + vigilance rate + foraging time + vigilance time","positive control","bear",130,"","time",22.4,NA,NA,"sd",-1,49,"",5.80357142857143
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","vigilance","foraging rate + vigilance rate + foraging time + vigilance time","natural predator","bear",22.3,"","time",27.65,NA,NA,"sd",-1,49,"",0.806509945750452
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","vigilance","foraging rate + vigilance rate + foraging time + vigilance time","positive control","bear",18.9,"","time",23.87,NA,NA,"sd",-1,49,"",0.791788856304985
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","vigilance","foraging rate + vigilance rate + foraging time + vigilance time","natural predator","dog",22.4,"","time",52.08,NA,NA,"sd",-1,49,"",0.43010752688172
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","vigilance","foraging rate + vigilance rate + foraging time + vigilance time","positive control","dog",18.9,"","time",23.87,NA,NA,"sd",-1,49,"",0.791788856304985
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","vigilance","foraging rate + vigilance rate + foraging time + vigilance time","hunted","human",16.6,"","time",33.88,NA,NA,"sd",-1,49,"",0.489964580873672
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","vigilance","foraging rate + vigilance rate + foraging time + vigilance time","positive control","human",18.9,"","time",23.87,NA,NA,"sd",-1,49,"",0.791788856304985
