"cite.key","group","exposure_category","pop_cn","outcome","smd","se","upper","lower","X","pop_sn","functional_group","trophic_level","cite","year"
"lopesHumanmodifiedLandscapesAlter2021","","Passive Interaction","Capybaras","Movement",-1.79134882627885,0.706499976672814,-0.406634316921744,-3.17606333563595,6,"Hydrochoerus hydrochaeris","herbivore","1","Lopes et al., 2021",2021
"matsonFactorsAffectingVigilance2005","time","Lethal Interaction","Impala","Vigilance",0.110342512246879,0.111313632021871,0.32851322199809,-0.107828197504333,19,"Aepyceros melampus","herbivore","1","Matson et al., 2005",2005
"matsonFactorsAffectingVigilance2005","rate","Lethal Interaction","Impala","Vigilance",0.0327140752520119,0.111240680125148,0.250741801913043,-0.185313651409019,19,"Aepyceros melampus","herbivore","1","Matson et al., 2005",2005
"mccormickBoatNoiseImpacts2018","2-stroke engine","Passive Interaction","Ward's Damsel Fish","Movement",0.408579472712263,0.346557379713872,1.08781945552802,-0.270660510103497,NA,"Chromis wardi","herbivore","1","I. McCormick et al., 2018",2018
"mccormickBoatNoiseImpacts2018","4-stroke engine","Passive Interaction","Ward's Damsel Fish","Movement",0,0.342997170285018,0.672262100557787,-0.672262100557787,NA,"Chromis wardi","herbivore","1","I. McCormick et al., 2018",2018
"murchisonHumanActivityHabitat2016","","Active Interaction","Western Sandpiper","Foraging",-0.197656085166358,0.353155578164647,0.49451612897577,-0.889828299308485,39,"Calidris mauri","insectivore","1","Murchison et al., 2016",2016
"murchisonHumanActivityHabitat2016","","Active Interaction","Western Sandpiper","Vigilance",-0.191273013919001,0.35311271180834,0.500815183708616,-0.883361211546619,39,"Calidris mauri","insectivore","1","Murchison et al., 2016",2016
"murchisonHumanActivityHabitat2016","","Active Interaction","Semipalmated Plover","Foraging",-0.136698883096482,0.429913021494184,0.705915155516911,-0.979312921709876,33,"Charadrius semipalmatus","herbivore","1","Murchison et al., 2016",2016
"murchisonHumanActivityHabitat2016","","Active Interaction","Semipalmated Plover","Vigilance",0.49504612557911,0.434138874334586,1.34594268356366,-0.355850432405438,33,"Charadrius semipalmatus","herbivore","1","Murchison et al., 2016",2016
"picardiMovementResponsesRoe2019","male","Lethal Interaction","Roe Deer","Movement",-3.57826967029166,1.07765212469128,-1.46611031803369,-5.69042902254963,29,"Capreolus capreolus","herbivore","1","Picardi et al., 2019",2019
"picardiMovementResponsesRoe2019","female","Lethal Interaction","Roe Deer","Movement",-3.32708626627075,0.825259764801524,-1.70960684936977,-4.94456568317173,29,"Capreolus capreolus","herbivore","1","Picardi et al., 2019",2019
"podgorskiSpatiotemporalBehavioralPlasticity2013","","Passive Interaction","Wild Boar","Movement",1.74026575072167,0.524316249799561,2.76790671683792,0.712624784605427,41,"Sus scrofa","herbivore","1","Podgorski et al., 2013",2013
"podgorskiSpatiotemporalBehavioralPlasticity2013","","Passive Interaction","Wild Boar","Movement",-1.35656917257193,0.511415387547427,-0.354213431839383,-2.35892491330449,41,"Sus scrofa","herbivore","1","Podgorski et al., 2013",2013
"proffittContrastingEffectsWolves2009","forested area","Lethal Interaction","Elk","Movement",0.589626140108517,0.372998190011231,1.32068915882916,-0.141436878612124,11,"Cervus elaphus","herbivore","1","Proffitt et al., 2009",2009
